animal,kg,kcal,logkg,logkcal
mouse,0.021,3.6,-1.677780705,0.5563025008
rat,0.282,28.1,-0.5497508917,1.44870632
guinea pig,0.41,35.1,-0.3872161433,1.545307116
rabbit,2.98,167,0.4742162641,2.222716471
rabbit,1.52,83,0.1818435879,1.919078092
rabbit,2.46,119,0.3909351071,2.075546961
rabbit,3.57,164,0.5526682161,2.214843848
rabbit,4.33,191,0.6364878964,2.281033367
rabbit,5.33,233,0.726727209,2.367355921
cat,3,152,0.4771212547,2.181843588
macaque,4.2,207,0.6232492904,2.315970345
dog,6.6,288,0.8195439355,2.459392488
dog,14.1,534,1.149219113,2.727541257
dog,24.8,875,1.394451681,2.942008053
dog,23.6,872,1.372912003,2.940516485
goat,36,800,1.556302501,2.903089987
chimpanzee,38,1090,1.579783597,3.037426498
sheep female,46.4,1254,1.666517981,3.098297536
sheep male,46.8,1330,1.670245853,3.123851641
woman,57.2,1368,1.757396029,3.136086097
woman,54.8,1224,1.738780558,3.087781418
woman,57.9,1320,1.762678564,3.120573931
cow,300,4221,2.477121255,3.625415352
cow,435,8166,2.638489257,3.912009376
beef heifers,482,7754,2.683047038,3.889525797
cow,600,7877,2.77815125,3.896360845
shrew,0.0035,2.9,-2.455931956,0.4623979979
swiss mice,0.0105,3.7,-1.978810701,0.5682017241
dwarf mouse,0.008,1,-2.096910013,0
rats (giant),0.4,33.2,-0.3979400087,1.521138084
rats (growth hormone),0.391,28.6,-0.4078232426,1.456366033
swine,150,2678,2.176091259,3.427810573
steer calves,200,3817,2.301029996,3.58172216
elephant,3672,49000,3.564902673,4.69019608
porpoise,170,6768,2.230448921,3.83046035
whale,70000,12000,4.84509804,4.079181246